mock1	mock10	mock2	mock3	mock4	mock5	mock6	mock7	mock8	mock9
TAXA_115	5	0	4	4	3	0	3	6	0	0
TAXA_116	3	0	0	0	0	0	0	0	0	0
TAXA_117	4	0	0	0	0	0	3	0	0	0
TAXA_118	0	0	0	4	0	3	0	3	4	0
TAXA_119	3	0	0	0	0	0	0	0	0	0
TAXA_120	8	6	9	13	7	6	8	9	6	5
TAXA_121	29	28	32	28	30	38	22	26	39	41
TAXA_122	4	5	8	4	4	0	5	0	3	6
TAXA_123	3	3	0	4	0	5	5	3	0	3
TAXA_124	4	6	5	6	0	3	0	3	0	7
TAXA_125	11	9	9	4	14	9	8	13	16	8
TAXA_126	0	4	0	0	0	0	0	0	4	0
TAXA_127	16	12	18	19	17	14	12	12	12	7
TAXA_128	16	10	17	10	8	11	16	17	13	11
TAXA_129	0	0	0	0	0	0	0	3	0	0
TAXA_130	0	0	0	0	0	0	0	3	0	0
TAXA_131	6	6	6	9	7	8	5	6	8	11
TAXA_132	0	0	0	3	0	4	4	3	0	3
TAXA_133	7	4	5	7	6	7	6	5	5	5
TAXA_134	3	0	0	0	0	0	0	0	0	0
TAXA_135	0	4	0	0	0	0	0	0	0	3
TAXA_136	0	0	0	0	4	4	0	0	3	0
TAXA_137	3	0	0	3	0	0	3	0	0	0
TAXA_138	3	3	0	0	4	3	0	5	6	4
TAXA_139	0	0	0	0	3	0	0	0	0	0
TAXA_140	0	0	0	0	0	0	3	0	0	0
TAXA_141	5	5	0	8	3	4	7	7	7	8
TAXA_142	0	4	3	3	5	3	3	3	4	4
TAXA_143	4	5	5	0	3	4	4	5	3	0
TAXA_144	0	3	3	4	0	3	0	4	4	4
TAXA_145	3	4	0	4	4	0	3	4	4	0
TAXA_146	0	0	0	0	0	0	3	0	0	0
TAXA_147	3	0	0	0	0	0	0	0	0	0
TAXA_148	11	7	7	9	12	12	8	11	5	9
TAXA_149	3	3	3	0	0	5	4	3	0	0
TAXA_150	0	0	3	0	0	0	3	0	0	0
TAXA_151	4	0	3	0	0	3	0	0	0	0
TAXA_152	0	0	0	0	0	0	3	0	0	0
TAXA_153	0	0	0	3	0	0	0	0	0	0
TAXA_154	0	0	0	0	0	0	3	0	0	3
TAXA_155	0	0	0	0	3	0	0	4	0	3
TAXA_156	0	0	0	0	3	0	0	0	0	0
TAXA_157	0	0	0	0	0	0	0	0	0	3
TAXA_158	0	0	0	3	0	0	0	0	0	0
TAXA_159	0	3	3	4	3	0	4	0	0	0
TAXA_160	0	4	0	0	0	0	0	3	0	0
TAXA_161	0	6	0	3	4	0	3	3	5	0
TAXA_162	6	4	7	3	4	4	4	6	3	5
TAXA_163	0	4	5	5	7	0	0	7	6	7
TAXA_164	3	0	0	3	4	3	0	0	3	6
TAXA_165	0	3	0	0	0	0	0	0	0	0
TAXA_166	5	0	0	0	5	3	0	3	5	6
TAXA_167	0	0	3	3	0	0	0	0	0	0
TAXA_168	4	5	3	0	4	0	0	0	0	4
TAXA_169	0	0	0	0	0	0	5	0	0	0
TAXA_170	5	5	0	3	0	6	0	3	5	0
TAXA_171	0	4	0	4	3	0	4	4	4	6
TAXA_172	4	5	0	4	3	0	6	4	4	0
TAXA_173	6	4	0	3	0	5	7	3	3	4
TAXA_174	0	0	0	0	0	3	0	0	0	0
TAXA_175	3	0	0	0	0	3	3	0	4	0
TAXA_176	14	12	10	9	9	6	11	9	12	11
TAXA_177	3	3	4	0	0	6	0	0	3	0
TAXA_178	0	3	0	0	0	0	0	0	0	0
TAXA_179	14	10	5	12	10	15	12	10	8	15
TAXA_180	3	0	4	3	3	0	3	0	0	0
TAXA_181	18	22	18	13	20	18	20	26	14	17
TAXA_182	0	4	3	3	0	0	3	0	3	4
TAXA_183	0	3	4	0	4	0	3	0	4	0
TAXA_184	0	0	0	0	0	3	0	0	0	0
TAXA_185	0	3	0	0	0	3	0	0	0	0
TAXA_186	0	0	4	3	0	4	5	4	0	4
TAXA_187	3	4	3	5	5	4	6	4	3	8
TAXA_188	0	0	0	0	4	0	0	0	3	5
TAXA_189	3	0	0	3	0	0	0	0	0	0
TAXA_190	0	0	0	4	0	0	0	0	3	0
TAXA_191	0	0	0	0	0	0	3	0	0	0
TAXA_192	0	0	0	4	0	0	0	0	0	0
TAXA_193	0	0	0	0	0	0	0	0	0	3
TAXA_194	0	0	6	4	0	4	3	4	5	3
TAXA_195	4	4	4	7	7	5	5	10	4	7
TAXA_196	0	0	0	0	0	3	0	0	0	0
TAXA_197	1	2	4	1	3	1	2	1	0	0
TAXA_198	520	566	506	522	521	537	492	533	538	526
TAXA_199	45	59	62	50	55	52	46	51	56	45
TAXA_200	5	5	4	4	0	5	0	0	3	0
TAXA_201	30	26	26	24	37	25	35	29	33	22
TAXA_202	5	10	5	6	4	8	9	3	8	5
TAXA_203	9	6	9	10	6	0	11	9	10	10
TAXA_204	13	10	11	14	17	18	13	10	11	14
TAXA_205	1	0	0	1	0	1	0	0	0	0
