	barcode01
Citrobacter telavivensis	3
Citrobacter tructae	1
Citrobacter werkmanii	1
Citrobacter youngae	10
Clostridioides difficile	1899
Collinsella stercoris	1875
Corynebacterium aurimucosum	1
Corynebacterium belfantii	923
Corynebacterium diphtheriae	789
Corynebacterium endometrii	1
Corynebacterium kroppenstedtii	1318
Corynebacterium parakroppenstedtii	585
Corynebacterium pseudotuberculosis	59
Corynebacterium rouxii	187
Corynebacterium silvaticum	768
Corynebacterium simulans	1886
Corynebacterium striatum	2
Corynebacterium ulcerans	1065
Coxiella burnetii	1916
Cronobacter condimenti	1
Cronobacter dublinensis	1
Cronobacter malonaticus	236
Cronobacter sakazakii	1627
Cronobacter turicensis	25
Cronobacter universalis	1
Cutibacterium acnes	1901
Desulfonatronovibrio magnus	1
Eggerthella lenta	1907
Eikenella corrodens	3
Elizabethkingia anophelis	1778
Elizabethkingia meningoseptica	10
Elizabethkingia occulta	91
Elizabethkingia ursingii	2
Enterobacter asburiae	52
Enterobacter bugandensis	3
Enterobacter cancerogenus	17
Enterobacter chengduensis	741
Enterobacter chuandaensis	199
Enterobacter cloacae	1747
Enterobacter hormaechei	125
Enterobacter huaxiensis	54
Enterobacter kobei	14
Enterobacter ludwigii	124
Enterobacter mori	51
Enterobacter oligotrophicus	2
Enterobacter quasihormaechei	1735
Enterobacter quasiroggenkampii	259
Enterobacter sichuanensis	1494
Enterobacter soli	3
Enterobacter wuhouensis	745
Enterococcus casseliflavus	1
Enterococcus faecalis	1897
Enterococcus gallinarum	4
Enterococcus hermanniensis	1
Enterococcus hirae	5
Enterococcus innesii	2
Enterococcus lemanii	2
Enterococcus mediterraneensis	2
Enterococcus nangangensis	1
Enterococcus pseudoavium	1
Enterococcus ratti	1
Enterococcus saccharolyticus	2
Enterococcus silesiacus	1
Enterococcus ureilyticus	1
Enterococcus wangshanyuanii	1
Erwinia aphidicola	2
Erwinia billingiae	2
Erwinia endophytica	0
Erwinia persicina	4
Erwinia tasmaniensis	16
Escherichia albertii	5
Escherichia coli	3
Escherichia fergusonii	857
Escherichia marmotae	188
Evansella cellulosilytica	1
Fictibacillus arsenicus	1
Fictibacillus barbaricus	1
Fictibacillus nanhaiensis	1
Fusobacterium canifelinum	2
Fusobacterium nucleatum	1851
Fusobacterium simiae	4
Fusobacterium watanabei	41
Haemophilus aegyptius	288
Haemophilus haemolyticus	1
Haemophilus influenzae	1607
Haemophilus parainfluenzae	1895
Helicobacter pylori	1893
Hungatella effluvii	11
Hungatella hathewayi	1891
Intestinirhabdus alba	1
Intrasporangium calvum	1
Janibacter anophelis	1
Janibacter cremeus	1
Janibacter hoylei	23
Janibacter indicus	1766
Janibacter melonis	2
Janibacter terrae	80
Kingella kingae	1870
Kingella negevensis	34
Klebsiella aerogenes	3769
Klebsiella africana	159
Klebsiella grimontii	53
Klebsiella michiganensis	1
Klebsiella oxytoca	1701
Klebsiella pasteurii	1821
Klebsiella pneumoniae	4677
Klebsiella quasipneumoniae	227
Klebsiella quasivariicola	170
Klebsiella variicola	366
Kluyvera cryocrescens	66
Kluyvera intermedia	3
Kosakonia oryzendophytica	2
Kosakonia quasisacchari	6
Kosakonia sacchari	3
Lacrimispora celerecrescens	1
Lacrimispora saccharolytica	5
Lacrimispora sphenoides	2
Lacrimispora xylanolytica	1
Lactococcus hodotermopsidis	2
Lactococcus paracarnosus	2
Leclercia adecarboxylata	161
Lelliottia amnigena	5
Lelliottia aquatilis	61
Lelliottia jeotgali	1
Listeria cossartiae	1719
Listeria farberi	15
Listeria innocua	116
Listeria ivanovii	1
Listeria marthii	6
Listeria seeligeri	5
Listeria swaminathanii	5
Listeria welshimeri	35
Longicatena caecimuris	2
Mangrovibacillus cuniculi	1
Marinilactibacillus piezotolerans	2
Metamycoplasma hominis	1909
Mixta mediterraneensis	1
Morganella morganii	1907
Morganella psychrotolerans	1
Mucilaginibacter ginkgonis	2
Mycobacterium attenuatum	1
Mycobacterium avium	1
Mycobacterium bohemicum	1
Mycobacterium decipiens	2
Mycobacterium gastri	1
Mycobacterium grossiae	1
Mycobacterium haemophilum	2
Mycobacterium innocens	1
Mycobacterium kansasii	4
Mycobacterium marinum	6
Mycobacterium paraintracellulare	1
Mycobacterium persicum	1
Mycobacterium pseudokansasii	1
Mycobacterium shottsii	1
Mycobacterium spongiae	1
Mycobacterium talmoniae	1
Mycobacterium tuberculosis	1867
Mycobacteroides abscessus	3268
Mycobacteroides chelonae	472
Mycobacteroides franklinii	3
Mycobacteroides immunogenum	5
Mycobacteroides salmoniphilum	3
Mycobacteroides saopaulense	52
Mycolicibacterium conceptionense	2
Mycolicibacterium hippocampi	1
Mycolicibacterium montmartrense	1
Mycolicibacterium neworleansense	1
Mycolicibacterium nivoides	3
Mycoplasmoides pneumoniae	1902
Neisseria cinerea	1044
Neisseria gonorrhoeae	1930
Neisseria macacae	0
Neisseria meningitidis	752
Neisseria mucosa	3
Neisseria perflava	30
Neisseria polysaccharea	41
Ornithinibacillus heyuanensis	1
Orrella dioscoreae	0
Paenibacillus tianmuensis	1
Pantoea agglomerans	84
Pantoea allii	1
Pantoea cypripedii	2
Pantoea dispersa	1
Pantoea rwandensis	1
Pantoea stewartii	1
Pectobacterium aroidearum	3
Pectobacterium betavasculorum	1
Pectobacterium brasiliense	1
Pectobacterium odoriferum	1
Pectobacterium polaris	3
Pectobacterium quasiaquaticum	7
Pectobacterium wasabiae	1
Peptoniphilus asaccharolyticus	735
Peptoniphilus coxii	1
Peptoniphilus duerdenii	4
Peptoniphilus duodeni	485
Peptoniphilus indolicus	28
Peptoniphilus koenoeneniae	435
Peptoniphilus methioninivorax	19
Peptoniphilus mikwangii	114
Peptoniphilus nemausensis	1
Peptoniphilus pacaensis	3
Peptoniphilus phoceensis	1
Peptoniphilus raoultii	3
Peptoniphilus urinimassiliensis	3
Peribacillus acanthi	40
Photorhabdus luminescens	1
Phytobacter diazotrophicus	1
Phytobacter palmae	23
Phytobacter ursingii	1
Pigmentiphaga daeguensis	1
Pontibacillus halophilus	1
Proteus hauseri	1
Proteus mirabilis	1895
Proteus penneri	1
Proteus vulgaris	2
Providencia alcalifaciens	1
Providencia burhodogranariea	25
Providencia huaxiensis	1305
Providencia rettgeri	392
Providencia rustigianii	1
Providencia sneebia	1
Providencia vermicola	169
Pseudenterobacter timonensis	3
Pseudescherichia vulneris	1
Pseudocitrobacter vendiensis	11
Pseudomonas aeruginosa	1906
Pseudomonas boanensis	3
Pseudomonas indica	1
Pseudomonas indoloxydans	1
Pseudomonas nicosulfuronedens	1
Pseudomonas tohonis	1
Raoultella ornithinolytica	8
Raoultella planticola	52
Raoultella terrigena	2
Rhizobium etli	1
Rhizobium rhizolycopersici	1
Rickettsia conorii	989
Rickettsia honei	49
Rickettsia japonica	74
Rickettsia massiliae	2
Rickettsia parkeri	2
