	barcode01
Citrobacter telavivensis	3
Citrobacter tructae	1
Citrobacter werkmanii	1
Citrobacter youngae	10
Clostridioides difficile	2000
Collinsella stercoris	2000
Corynebacterium aurimucosum	1
Corynebacterium belfantii	972
Corynebacterium diphtheriae	831
Corynebacterium endometrii	1
Corynebacterium kroppenstedtii	1388
Corynebacterium parakroppenstedtii	612
Corynebacterium pseudotuberculosis	62
Corynebacterium rouxii	197
Corynebacterium silvaticum	807
Corynebacterium simulans	1995
Corynebacterium striatum	2
Corynebacterium ulcerans	1132
Coxiella burnetii	2000
Cronobacter condimenti	1
Cronobacter dublinensis	1
Cronobacter malonaticus	245
Cronobacter sakazakii	1707
Cronobacter turicensis	26
Cronobacter universalis	1
Cutibacterium acnes	2000
Desulfonatronovibrio magnus	1
Eggerthella lenta	2000
Eikenella corrodens	3
Elizabethkingia anophelis	1891
Elizabethkingia meningoseptica	11
Elizabethkingia occulta	95
Elizabethkingia ursingii	3
Enterobacter asburiae	53
Enterobacter bugandensis	3
Enterobacter cancerogenus	17
Enterobacter chengduensis	779
Enterobacter chuandaensis	206
Enterobacter cloacae	1842
Enterobacter hormaechei	131
Enterobacter huaxiensis	55
Enterobacter kobei	14
Enterobacter ludwigii	131
Enterobacter mori	56
Enterobacter oligotrophicus	2
Enterobacter quasihormaechei	1839
Enterobacter quasiroggenkampii	275
Enterobacter sichuanensis	1582
Enterobacter soli	3
Enterobacter wuhouensis	784
Enterococcus casseliflavus	1
Enterococcus faecalis	1987
Enterococcus gallinarum	4
Enterococcus hermanniensis	1
Enterococcus hirae	5
Enterococcus innesii	2
Enterococcus lemanii	2
Enterococcus mediterraneensis	3
Enterococcus nangangensis	1
Enterococcus pseudoavium	1
Enterococcus ratti	1
Enterococcus saccharolyticus	2
Enterococcus silesiacus	1
Enterococcus ureilyticus	1
Enterococcus wangshanyuanii	2
Erwinia aphidicola	2
Erwinia billingiae	3
Erwinia endophytica	1
Erwinia persicina	4
Erwinia tasmaniensis	17
Escherichia albertii	5
Escherichia coli	3
Escherichia fergusonii	899
Escherichia marmotae	199
Evansella cellulosilytica	1
Fictibacillus arsenicus	1
Fictibacillus barbaricus	1
Fictibacillus nanhaiensis	1
Fusobacterium canifelinum	2
Fusobacterium nucleatum	1950
Fusobacterium simiae	5
Fusobacterium watanabei	43
Haemophilus aegyptius	296
Haemophilus haemolyticus	1
Haemophilus influenzae	1698
Haemophilus parainfluenzae	2000
Helicobacter pylori	2000
Hungatella effluvii	11
Hungatella hathewayi	1980
Intestinirhabdus alba	1
Intrasporangium calvum	1
Janibacter anophelis	1
Janibacter cremeus	1
Janibacter hoylei	25
Janibacter indicus	1884
Janibacter melonis	2
Janibacter terrae	86
Kingella kingae	1958
Kingella negevensis	38
Klebsiella aerogenes	3959
Klebsiella africana	171
Klebsiella grimontii	54
Klebsiella michiganensis	1
Klebsiella oxytoca	1782
Klebsiella pasteurii	1917
Klebsiella pneumoniae	4917
Klebsiella quasipneumoniae	240
Klebsiella quasivariicola	181
Klebsiella variicola	377
Kluyvera cryocrescens	68
Kluyvera intermedia	3
Kosakonia oryzendophytica	2
Kosakonia quasisacchari	6
Kosakonia sacchari	3
Lacrimispora celerecrescens	1
Lacrimispora saccharolytica	5
Lacrimispora sphenoides	2
Lacrimispora xylanolytica	1
Lactococcus hodotermopsidis	2
Lactococcus paracarnosus	2
Leclercia adecarboxylata	169
Lelliottia amnigena	5
Lelliottia aquatilis	62
Lelliottia jeotgali	1
Listeria cossartiae	1807
Listeria farberi	15
Listeria innocua	120
Listeria ivanovii	1
Listeria marthii	6
Listeria seeligeri	6
Listeria swaminathanii	5
Listeria welshimeri	40
Longicatena caecimuris	2
Mangrovibacillus cuniculi	1
Marinilactibacillus piezotolerans	2
Metamycoplasma hominis	2000
Mixta mediterraneensis	1
Morganella morganii	1988
Morganella psychrotolerans	1
Mucilaginibacter ginkgonis	2
Mycobacterium attenuatum	1
Mycobacterium avium	1
Mycobacterium bohemicum	1
Mycobacterium decipiens	2
Mycobacterium gastri	1
Mycobacterium grossiae	1
Mycobacterium haemophilum	2
Mycobacterium innocens	1
Mycobacterium kansasii	4
Mycobacterium marinum	7
Mycobacterium paraintracellulare	1
Mycobacterium persicum	1
Mycobacterium pseudokansasii	1
Mycobacterium shottsii	1
Mycobacterium spongiae	1
Mycobacterium talmoniae	1
Mycobacterium tuberculosis	1974
Mycobacteroides abscessus	3416
Mycobacteroides chelonae	510
Mycobacteroides franklinii	3
Mycobacteroides immunogenum	5
Mycobacteroides salmoniphilum	3
Mycobacteroides saopaulense	54
Mycolicibacterium conceptionense	2
Mycolicibacterium hippocampi	1
Mycolicibacterium montmartrense	1
Mycolicibacterium neworleansense	1
Mycolicibacterium nivoides	3
Mycoplasmoides pneumoniae	2000
Neisseria cinerea	1096
Neisseria gonorrhoeae	2026
Neisseria macacae	1
Neisseria meningitidis	801
Neisseria mucosa	3
Neisseria perflava	31
Neisseria polysaccharea	42
Ornithinibacillus heyuanensis	1
Orrella dioscoreae	1
Paenibacillus tianmuensis	1
Pantoea agglomerans	90
Pantoea allii	1
Pantoea cypripedii	2
Pantoea dispersa	1
Pantoea rwandensis	1
Pantoea stewartii	1
Pectobacterium aroidearum	3
Pectobacterium betavasculorum	1
Pectobacterium brasiliense	1
Pectobacterium odoriferum	1
Pectobacterium polaris	3
Pectobacterium quasiaquaticum	8
Pectobacterium wasabiae	1
Peptoniphilus asaccharolyticus	777
Peptoniphilus coxii	1
Peptoniphilus duerdenii	4
Peptoniphilus duodeni	519
Peptoniphilus indolicus	30
Peptoniphilus koenoeneniae	461
Peptoniphilus methioninivorax	22
Peptoniphilus mikwangii	121
Peptoniphilus nemausensis	2
Peptoniphilus pacaensis	3
Peptoniphilus phoceensis	2
Peptoniphilus raoultii	3
Peptoniphilus urinimassiliensis	3
Peribacillus acanthi	42
Photorhabdus luminescens	1
Phytobacter diazotrophicus	1
Phytobacter palmae	25
Phytobacter ursingii	1
Pigmentiphaga daeguensis	1
Pontibacillus halophilus	1
Proteus hauseri	1
Proteus mirabilis	1994
Proteus penneri	1
Proteus vulgaris	2
Providencia alcalifaciens	1
Providencia burhodogranariea	26
Providencia huaxiensis	1374
Providencia rettgeri	425
Providencia rustigianii	1
Providencia sneebia	1
Providencia vermicola	172
Pseudenterobacter timonensis	3
Pseudescherichia vulneris	1
Pseudocitrobacter vendiensis	11
Pseudomonas aeruginosa	1992
Pseudomonas boanensis	3
Pseudomonas indica	1
Pseudomonas indoloxydans	1
Pseudomonas nicosulfuronedens	1
Pseudomonas tohonis	1
Raoultella ornithinolytica	9
Raoultella planticola	53
Raoultella terrigena	2
Rhizobium etli	1
Rhizobium rhizolycopersici	1
Rickettsia conorii	1036
Rickettsia honei	53
Rickettsia japonica	78
Rickettsia massiliae	2
