	barcode01	barcode02	barcode03	barcode04	barcode05	barcode06	barcode07	barcode08	barcode09	barcode10
Shigella sonnei	223.0	186.0	202.0	213.0	197.0	221.0	223.0	249.0	225.0	231.0
Shigella dysenteriae	34.0	33.0	38.0	44.0	48.0	28.0	51.0	38.0	31.0	45.0
Shigella boydii	9.0	10.0	19.0	10.0	12.0	7.0	6.0	12.0	10.0	9.0
Escherichia fergusonii	2678.0	2652.0	2644.0	2649.0	2635.0	2626.0	2626.0	2605.0	2660.0	2655.0
Escherichia marmotae	549.0	580.0	531.0	546.0	561.0	548.0	571.0	573.0	564.0	584.0
Escherichia coli	8.0	6.0	13.0	15.0	12.0	14.0	7.0	12.0	6.0	13.0
Escherichia albertii	3.0	8.0	4.0	4.0	7.0	6.0	2.0	10.0	6.0	4.0
Enterobacter sichuanensis	3.0	2.0	4.0	2.0	2.0	3.0	2.0	1.0	1.0	0.0
Enterobacter asburiae	0.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	0.0	0.0
Enterobacter cloacae	7.0	5.0	9.0	14.0	9.0	9.0	5.0	9.0	9.0	12.0
Enterobacter mori	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Enterobacter quasihormaechei	2.0	2.0	6.0	2.0	5.0	5.0	4.0	3.0	8.0	5.0
Enterobacter oligotrophicus	8.0	4.0	7.0	13.0	4.0	4.0	8.0	8.0	7.0	6.0
Salmonella enterica	4125.0	4144.0	4135.0	4124.0	4128.0	4132.0	4135.0	4133.0	4139.0	4122.0
Salmonella bongori	2.0	2.0	7.0	6.0	6.0	8.0	4.0	7.0	3.0	4.0
Kosakonia cowanii	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Kosakonia sacchari	1.0	3.0	5.0	1.0	2.0	1.0	3.0	0.0	2.0	3.0
Citrobacter amalonaticus	2.0	2.0	2.0	1.0	0.0	2.0	2.0	1.0	1.0	0.0
Citrobacter telavivensis	1.0	2.0	3.0	2.0	1.0	0.0	0.0	0.0	2.0	3.0
