all_retrived_human_sim_default_polished
TAXA_001	2
TAXA_002	32
TAXA_003	1029
TAXA_004	1722
TAXA_005	669
TAXA_006	1695
TAXA_007	1696
TAXA_008	1710
TAXA_009	3159
TAXA_010	1758
TAXA_011	1733
TAXA_012	1829
TAXA_013	2
TAXA_014	1700
TAXA_015	1709
TAXA_016	1705
TAXA_017	1166
TAXA_018	1163
TAXA_019	3100
TAXA_020	1579
TAXA_021	3329
TAXA_022	4630
TAXA_023	1783
TAXA_024	3388
TAXA_025	4003
TAXA_026	1712
TAXA_027	1690
TAXA_028	1716
TAXA_029	1701
TAXA_030	1695
TAXA_031	1688
TAXA_032	738
TAXA_033	1702
TAXA_034	1695
TAXA_035	1697
TAXA_036	1712
TAXA_037	1711
TAXA_038	4444
TAXA_039	1704
TAXA_040	1720
TAXA_041	1765
TAXA_042	2529
TAXA_043	17
TAXA_044	1
TAXA_045	3501
TAXA_046	1911
TAXA_047	1796
TAXA_048	1
TAXA_049	1843
TAXA_050	1779
TAXA_051	1405
TAXA_052	1757
TAXA_053	1701
TAXA_054	1712
TAXA_055	1719
TAXA_056	1692
TAXA_057	4408
TAXA_058	292
TAXA_059	152
TAXA_060	358
TAXA_061	736
TAXA_062	1681
TAXA_063	1698
TAXA_064	2255
TAXA_065	976
TAXA_066	1755
TAXA_067	1707
TAXA_068	1769
TAXA_069	1707
TAXA_070	803
TAXA_071	50
TAXA_072	1190
TAXA_073	1509
TAXA_074	412
TAXA_075	1698
TAXA_076	1706
TAXA_077	943
TAXA_078	1042
TAXA_079	8
TAXA_080	1684
TAXA_081	1710
TAXA_082	1701
TAXA_083	1
TAXA_084	1699
TAXA_085	1624
TAXA_086	2114
TAXA_087	1896
TAXA_088	1718
TAXA_089	1696
TAXA_090	2176
TAXA_091	966
TAXA_092	549
TAXA_093	1720
TAXA_094	2
TAXA_095	1694
TAXA_096	2
TAXA_097	1700
TAXA_098	1703
TAXA_099	835
TAXA_100	443
TAXA_101	1150
TAXA_102	705
TAXA_103	1696
TAXA_104	1711
TAXA_105	1994
TAXA_106	2196
TAXA_107	1698
TAXA_108	520
TAXA_109	1208
TAXA_110	1782
TAXA_111	1674
